== SUMMARY.json vs bruts : 24 ecarts
    ('R7b', 0, 'cpu_s_vs_gnutime', 115.7, 116.0)
    ('R7b', 1, 'cpu_s_vs_gnutime', 113.5, 113.8)
    ('R7b', 2, 'cpu_s_vs_gnutime', 115.8, 116.0)
    ('R7b', 3, 'cpu_s_vs_gnutime', 112.8, 113.0)
    ('R7b', 4, 'cpu_s_vs_gnutime', 350.5, 351.7)
    ('R7b', 5, 'cpu_s_vs_gnutime', 364.0, 365.1)
    ('R7b', 6, 'cpu_s_vs_gnutime', 351.8, 353.0)
    ('R7b', 7, 'cpu_s_vs_gnutime', 363.7, 364.9)
    ('R7b', 8, 'cpu_s_vs_gnutime', 86.7, 86.9)
    ('R7b', 9, 'cpu_s_vs_gnutime', 88.7, 88.9)
    ('R7b', 10, 'cpu_s_vs_gnutime', 88.1, 88.3)
    ('R7b', 11, 'cpu_s_vs_gnutime', 86.7, 86.9)
    ('R7b', 12, 'cpu_s_vs_gnutime', 268.3, 269.3)
    ('R7b', 13, 'cpu_s_vs_gnutime', 278.7, 279.7)
    ('R7b', 14, 'cpu_s_vs_gnutime', 267.6, 268.6)
    ('R7b', 15, 'cpu_s_vs_gnutime', 276.5, 277.4)
    ('R7b', 16, 'cpu_s_vs_gnutime', 125.8, 126.1)
    ('R7b', 17, 'cpu_s_vs_gnutime', 124.9, 125.1)
    ('R7b', 18, 'cpu_s_vs_gnutime', 123.6, 123.9)
    ('R7b', 19, 'cpu_s_vs_gnutime', 124.7, 125.0)
    ('R7b', 20, 'cpu_s_vs_gnutime', 372.4, 373.6)
    ('R7b', 21, 'cpu_s_vs_gnutime', 381.4, 382.5)
    ('R7b', 22, 'cpu_s_vs_gnutime', 371.4, 372.7)
    ('R7b', 23, 'cpu_s_vs_gnutime', 380.4, 381.6)

== table brute (secondes ; other = prepare+gen_index+tower_index+residu hors digest si separe)
ses | pkg | i | frame | K | W | st | rep | def | q2 | q34 | merge | census | tower | other | digest | chain | chain_old | wall | cpu | gnuCPU | rssGiB | balls | nodes
R7b | 8e8b83a3 | 8 | 000100 | 5 | 48 | 48 | 0 | 1 | 0.235 | 2.523 | 0.034 | 0.084 | 0.734 | 0.060 | 0.162 | 3.669 | 3.832 | 3.925 | 86.7 | 86.9 | 1.10 | 1095926 | 1306721
R7b | 8e8b83a3 | 9 | 000100 | 5 | 48 | 48 | 0 | 0 | 0.247 | 2.557 | 0.034 | 0.082 | 0.707 | 0.058 | 0.163 | 3.686 | 3.849 | 3.924 | 88.7 | 88.9 | 1.09 | 1095926 | 1306721
R7b | 8e8b83a3 | 10 | 000100 | 5 | 48 | 48 | 1 | 1 | 0.228 | 2.667 | 0.035 | 0.080 | 0.727 | 0.075 | 0.162 | 3.813 | 3.976 | 4.028 | 88.1 | 88.3 | 1.11 | 1095926 | 1306721
R7b | 8e8b83a3 | 11 | 000100 | 5 | 48 | 48 | 1 | 0 | 0.239 | 2.544 | 0.035 | 0.081 | 0.707 | 0.076 | 0.163 | 3.682 | 3.845 | 3.926 | 86.7 | 86.9 | 1.08 | 1095926 | 1306721
R7b | 8e8b83a3 | 12 | 000100 | 10 | 48 | 48 | 0 | 1 | 0.413 | 5.226 | 0.093 | 0.364 | 3.199 | 0.284 | 0.798 | 9.579 | 10.377 | 10.555 | 268.3 | 269.3 | 3.80 | 4383302 | 5954045
R7b | 8e8b83a3 | 13 | 000100 | 10 | 48 | 48 | 0 | 0 | 0.415 | 5.473 | 0.091 | 0.363 | 3.455 | 0.255 | 0.809 | 10.053 | 10.863 | 11.098 | 278.7 | 279.7 | 3.78 | 4383302 | 5954045
R7b | 8e8b83a3 | 14 | 000100 | 10 | 48 | 48 | 1 | 1 | 0.429 | 5.306 | 0.087 | 0.361 | 3.151 | 0.250 | 0.798 | 9.585 | 10.382 | 10.645 | 267.6 | 268.6 | 3.90 | 4383302 | 5954045
R7b | 8e8b83a3 | 15 | 000100 | 10 | 48 | 48 | 1 | 0 | 0.430 | 5.334 | 0.102 | 0.360 | 3.449 | 0.291 | 0.797 | 9.967 | 10.764 | 10.952 | 276.5 | 277.4 | 3.79 | 4383302 | 5954045
R7b | 8e8b83a3 | 16 | 000200 | 5 | 48 | 48 | 0 | 1 | 0.506 | 4.848 | 0.042 | 0.106 | 0.969 | 0.098 | 0.209 | 6.569 | 6.778 | 6.881 | 125.8 | 126.1 | 1.31 | 1407885 | 1683088
R7b | 8e8b83a3 | 17 | 000200 | 5 | 48 | 48 | 0 | 0 | 0.507 | 4.694 | 0.045 | 0.104 | 0.963 | 0.126 | 0.210 | 6.439 | 6.649 | 6.731 | 124.9 | 125.1 | 1.32 | 1407885 | 1683088
R7b | 8e8b83a3 | 18 | 000200 | 5 | 48 | 48 | 1 | 1 | 0.492 | 4.737 | 0.045 | 0.104 | 0.964 | 0.099 | 0.210 | 6.441 | 6.651 | 6.731 | 123.6 | 123.9 | 1.32 | 1407885 | 1683088
R7b | 8e8b83a3 | 19 | 000200 | 5 | 48 | 48 | 1 | 0 | 0.494 | 4.756 | 0.046 | 0.104 | 0.942 | 0.061 | 0.209 | 6.403 | 6.613 | 6.677 | 124.7 | 125.0 | 1.31 | 1407885 | 1683088
R7b | 8e8b83a3 | 20 | 000200 | 10 | 48 | 48 | 0 | 1 | 0.822 | 9.839 | 0.113 | 0.446 | 3.821 | 0.255 | 1.005 | 15.296 | 16.301 | 16.500 | 372.4 | 373.6 | 4.88 | 5483320 | 7468379
R7b | 8e8b83a3 | 21 | 000200 | 10 | 48 | 48 | 0 | 0 | 0.815 | 9.824 | 0.100 | 0.447 | 3.988 | 0.455 | 1.001 | 15.629 | 16.630 | 16.856 | 381.4 | 382.5 | 4.87 | 5483320 | 7468379
R7b | 8e8b83a3 | 22 | 000200 | 10 | 48 | 48 | 1 | 1 | 0.819 | 9.809 | 0.122 | 0.449 | 3.869 | 0.208 | 1.001 | 15.275 | 16.276 | 16.605 | 371.4 | 372.7 | 4.96 | 5483320 | 7468379
R7b | 8e8b83a3 | 23 | 000200 | 10 | 48 | 48 | 1 | 0 | 0.814 | 9.734 | 0.119 | 0.447 | 4.115 | 0.417 | 1.001 | 15.647 | 16.648 | 16.858 | 380.4 | 381.6 | 4.94 | 5483320 | 7468379
